date,population
1980,62267.0
1981,62614.0
1982,63116.0
1983,63683.0
1984,64174.0
1985,64478.0
1986,64553.0
1987,64450.0
1988,64332.0
1989,64596.0
1990,65712.0
1991,67864.0
1992,70192.0
1993,72360.0
1994,74710.0
1995,77050.0
1996,79417.0
1997,81858.0
1998,84355.0
1999,86867.0
2000,89101.0
2001,90691.0
2002,91781.0
2003,92701.0
2004,93540.0
2005,94483.0
2006,95606.0
2007,96787.0
2008,97996.0
2009,99212.0
2010,100341.0
2011,101288.0
2012,102112.0
2013,102880.0
2014,103594.0
2015,104257.0
2016,104874.0
2017,105439.0
2018,105962.0
2019,106442.0
2020,106585.0
2021,106537.0
2022,106445.0
2023,106353.0
2024,106261.0
